index,value
0,0.0
1,0.0
2,-0.47638391423418475
3,-1.088372489701766
4,-2.1036325527025657
5,-3.036758137098203
6,-5.759268522835327
7,-8.020481596074813
8,-10.551983830255296
9,-9.109713052288708
10,-7.776843855593563
11,-7.1567339621356805
12,-6.98018090174965
13,-7.52102914669269
14,-8.982196951916652
15,-10.461979805398444
16,-11.074019851622495
17,-11.758654304078554
18,-11.311253155957905
19,-11.168037892854324
20,-11.044572680679368
21,-9.405071081043845
22,-7.632261317533768
23,-6.827703814894199
24,-6.422347405023493
25,-5.582533974769723
26,-3.0209976699875054
27,-1.3787693059184907
28,-0.4194196777441047
29,1.291945328140908
30,1.6806785548244143
31,1.6620318844230006
32,2.5321934090358433
33,3.764835006081295
34,4.770071235001853
35,6.182461326808742
36,4.405100638107842
37,4.078703895683968
38,2.9016176528560793
39,0.344688461530136
40,-1.2799259611158031
41,-1.7717031268239247
42,-2.574144344579156
43,-4.25013957269806
44,-5.471765178885679
45,-6.42301784489642
46,-5.721788704714537
47,-4.439742869558786
48,-3.296208808568622
49,-1.3388150439670095
50,-0.08642545095621879
51,-0.09395381371689486
52,0.4761256996798516
53,1.489234241862908
54,2.026057072487953
55,1.6360646434253696
56,1.569444282382472
57,-0.9683923809336816
58,-2.182920363818352
59,-2.570278792499283
60,-4.495732412322565
61,-5.87499995794561
62,-7.850696316248529
63,-8.566005583456741
64,-11.115193287693831
65,-13.94014876989051
66,-15.317920989384492
67,-15.170514703589374
68,-17.209260257319777
69,-19.241248635158634
70,-20.410024227847156
71,-21.879940664942247
72,-21.382686554911725
73,-22.18576662082797
74,-22.445082511966135
75,-23.67389822224455
76,-23.19123246749615
77,-22.834934292124743
78,-22.95157707745914
79,-24.75763229488288
80,-24.42875426552571
81,-23.407299324668053
82,-21.89946149603225
83,-19.639334027317453
84,-17.610838563928333
85,-16.751425819627347
86,-16.924514396791523
87,-17.859181050403485
88,-17.186317507581954
89,-18.131694635584946
90,-19.449132533269943
91,-20.74242522275066
92,-21.476918119365273
93,-21.440072403001306
94,-22.65668206372718
95,-25.3013119033825
96,-27.273235194993447
97,-27.511143127683262
98,-26.917481725515273
99,-26.258873043366787
100,-26.088692089687765
101,-25.673738317284883
102,-25.605914862116073
103,-24.743007736464996
104,-24.889314058126836
105,-24.875926426902872
106,-24.97094410946012
107,-24.501017932785935
108,-23.921987572770643
109,-20.94423576501079
110,-17.217210571059777
111,-12.960696210673479
112,-11.84197999769437
113,-11.384507890266654
114,-11.649561428609552
115,-11.321506932770268
116,-13.349122448114443
117,-13.70131562245247
118,-12.871038922475194
119,-13.555603235501223
120,-15.056133114724759
121,-16.971150140469355
122,-18.349403724063347
123,-18.72333478414852
124,-16.94524467608244
125,-15.808176708389905
126,-14.210430335853436
127,-12.863021089240014
128,-10.110298280031472
129,-7.314224784115242
130,-3.8793089811480868
131,-2.4050068179595625
132,-1.5259840298925267
133,-1.6868560447447045
134,-0.31132209730522353
135,1.3830449731782046
136,2.3297048287901507
137,2.5726921025632543
138,3.232853093707543
139,3.0258014858013267
140,1.9319087786499132
141,1.5981571794100715
142,3.8227614673265435
143,5.2451279398551875
144,5.728213076129524
145,4.911328891468133
146,2.960430652203838
147,2.0335797097512143
148,2.2096619378301225
149,2.3553378758035133
150,2.793415948997677
151,3.237384336312467
152,3.703716857711631
153,2.5236121066336743
154,1.1758793950990647
155,0.292898034738452
156,-1.1413767101966492
157,-2.6863700653179503
158,-4.648806684278917
159,-6.4402184079567775
160,-6.911007813812482
161,-7.655168961716029
162,-8.366704575267939
163,-8.077495486295458
164,-7.210124114134185
165,-4.869996159112002
166,-5.214264566555528
167,-4.641750773599292
168,-4.681195814467674
169,-4.587952994128666
170,-3.6756556047248363
171,-1.9109710034725351
172,0.4414664791801495
173,2.342492055240644
174,5.354961681223715
175,7.315613637472341
176,8.612968933871123
177,10.372081560812104
178,11.12846594382066
179,13.83872376966741
180,16.88744675165831
181,21.316798021410868
182,24.585581450570974
183,26.608037873907328
184,28.267183310107363
185,30.22949889378608
186,31.09888557534573
187,32.11132120045581
188,32.84973345340928
189,35.008007523822336
190,35.95870701912682
191,37.69277147227529
192,38.34636521192584
193,37.855332390526755
194,36.775796301916536
195,34.78243299969896
196,33.444988965081045
197,33.494153947781406
198,33.7047150893694
199,34.48306611135175
200,36.697734790381524
201,38.619477433119165
202,40.23151327744736
203,41.15000863423986
204,40.215901939241526
205,40.26873723255445
206,38.565792854657886
207,37.93573920654223
208,37.47209806982221
209,38.250897536408836
210,38.77311028613667
211,38.32977550353814
212,38.35278498939808
213,37.8161875457477
214,37.23026146759288
215,36.84027757364873
216,36.41790756018839
217,35.915568907233414
218,34.71051515815845
219,33.622419465296446
220,30.6813803193294
221,28.32718943000949
222,25.397131068529013
223,24.337504096877694
224,24.843157756789758
225,23.273961058882936
226,22.234753561881675
227,21.35112834306577
228,19.64693337844986
229,18.909651760020214
230,17.91307942676678
231,15.400939652542233
232,13.261604323991776
233,11.536245302495422
234,10.365810288595707
235,8.272314385313484
236,7.327056647890787
237,7.376524989722601
238,6.271580596114354
239,4.7820748082466125
240,3.599099631723986
241,2.159489727295359
242,2.8335827167886087
243,3.5620036660843883
244,3.0842434974771997
245,1.9334320270095173
246,1.0203590137462526
247,2.643091158693132
248,3.6891740244235143
249,4.57837411355412
250,5.754236990531066
251,6.586672109696815
252,9.480228671481996
253,11.112466434360693
254,13.046920073645445
255,14.649670032863618
256,16.45173308873274
257,16.61402157309094
258,18.485740390461785
259,19.77231197462373
260,20.746498947191522
261,20.534797512114007
262,19.636726721387635
263,19.5334191356316
264,20.451562091367084
265,21.891522028114743
266,24.169651133200052
267,26.578521259001686
268,28.390134538216877
269,30.563485012472775
270,32.77211585869249
271,34.30609168334569
272,36.16271110001256
273,38.82867566886073
274,41.04378176258609
275,42.32221020823443
276,43.98139769878564
277,47.116950524787256
278,49.24065909290467
279,50.708024389429205
280,51.65719175029315
281,53.578978290720734
282,53.17584258305165
283,53.21786091591876
284,54.454194117670816
285,54.56314118120316
286,56.12009660540103
287,57.826566642290416
288,58.5367157488052
289,59.25937014897192
290,58.2629260011833
291,56.94236866348089
292,57.79398864633717
293,57.55010959295803
294,59.197203282348205
295,60.359097512738124
296,62.20174075535148
297,63.621300642035536
298,62.42366782166615
299,60.94233481393663
300,60.03981904348929
301,58.22397853322336
302,55.52177025509723
303,53.881518913357816
304,52.02861635615607
305,48.95427002693776
306,45.98365115500034
307,44.648114286518265
308,43.19875690173455
309,43.05409117762355
310,44.48832870444121
311,45.59291815156349
312,45.275010358824865
313,43.7270403376573
314,42.546573743344524
315,42.559261428370256
316,42.84660466906859
317,43.60612644170226
318,43.72996919659086
319,44.11463987753579
320,43.93330803846016
321,43.46637500146193
322,41.828058887332986
323,39.03149991954543
324,36.47106606303059
325,33.47146859580635
