date,sales
2020-01-01,1200.50
2020-01-02,1180.25
2020-01-03,1350.75
2020-01-04,1420.30
2020-01-05,1380.90
2020-01-06,1250.40
2020-01-07,1180.20
2020-01-08,1320.60
2020-01-09,1450.80
2020-01-10,1520.10
2020-01-11,1480.70
2020-01-12,1350.30
2020-01-13,1280.50
2020-01-14,1420.90
2020-01-15,1580.40
2020-01-16,1620.80
2020-01-17,1550.20
2020-01-18,1480.60
2020-01-19,1350.40
2020-01-20,1280.90
2020-01-21,1420.30
2020-01-22,1580.70
2020-01-23,1650.50
2020-01-24,1620.80
2020-01-25,1550.40
2020-01-26,1480.20
2020-01-27,1350.60
2020-01-28,1280.30
2020-01-29,1420.70
2020-01-30,1580.90
2020-01-31,1650.20
2020-02-01,1620.50
2020-02-02,1550.80
2020-02-03,1480.40
2020-02-04,1350.20
2020-02-05,1280.60
2020-02-06,1420.90
2020-02-07,1580.30
2020-02-08,1650.70
2020-02-09,1620.40
2020-02-10,1550.20
2020-02-11,1480.60
2020-02-12,1350.80
2020-02-13,1280.40
2020-02-14,1420.20
2020-02-15,1580.60
2020-02-16,1650.90
2020-02-17,1620.50
2020-02-18,1550.30
2020-02-19,1480.70
2020-02-20,1350.40
2020-02-21,1280.20
2020-02-22,1420.60
2020-02-23,1580.80
2020-02-24,1650.40
2020-02-25,1620.20
2020-02-26,1550.60
2020-02-27,1480.30
2020-02-28,1350.50
2020-02-29,1280.80
2020-03-01,1420.40
2020-03-02,1580.20
2020-03-03,1650.60
2020-03-04,1620.80
2020-03-05,1550.40
2020-03-06,1480.20
2020-03-07,1350.60
2020-03-08,1280.30
2020-03-09,1420.70
2020-03-10,1580.50
2020-03-11,1650.20
2020-03-12,1620.60
2020-03-13,1550.80
2020-03-14,1480.40
2020-03-15,1350.20
2020-03-16,1280.60
2020-03-17,1420.30
2020-03-18,1580.70
2020-03-19,1650.50
2020-03-20,1620.20
2020-03-21,1550.60
2020-03-22,1480.80
2020-03-23,1350.40
2020-03-24,1280.20
2020-03-25,1420.60
2020-03-26,1580.30
2020-03-27,1650.70
2020-03-28,1620.50
2020-03-29,1550.20
2020-03-30,1480.60
2020-03-31,1350.80
2020-04-01,1280.40
2020-04-02,1420.20
2020-04-03,1580.60
2020-04-04,1650.30
2020-04-05,1620.70
2020-04-06,1550.50
2020-04-07,1480.20
2020-04-08,1350.60
2020-04-09,1280.80
2020-04-10,1420.40
2020-04-11,1580.20
2020-04-12,1650.60
2020-04-13,1620.30
2020-04-14,1550.70
2020-04-15,1480.50
2020-04-16,1350.20
2020-04-17,1280.60
2020-04-18,1420.80
2020-04-19,1580.40
2020-04-20,1650.20
2020-04-21,1620.60
2020-04-22,1550.30
2020-04-23,1480.70
2020-04-24,1350.50
2020-04-25,1280.20
2020-04-26,1420.60
2020-04-27,1580.80
2020-04-28,1650.40
2020-04-29,1620.20
2020-04-30,1550.60
