date,temperature
2020-01-01,15.2
2020-01-02,14.8
2020-01-03,16.1
2020-01-04,17.5
2020-01-05,18.2
2020-01-06,16.9
2020-01-07,15.4
2020-01-08,17.8
2020-01-09,19.1
2020-01-10,20.3
2020-01-11,18.7
2020-01-12,16.2
2020-01-13,14.9
2020-01-14,17.3
2020-01-15,19.6
2020-01-16,21.2
2020-01-17,19.8
2020-01-18,17.4
2020-01-19,15.7
2020-01-20,18.1
2020-01-21,20.5
2020-01-22,22.1
2020-01-23,20.8
2020-01-24,18.3
2020-01-25,16.0
2020-01-26,18.6
2020-01-27,21.0
2020-01-28,22.7
2020-01-29,21.3
2020-01-30,18.9
2020-01-31,16.5
2020-02-01,19.2
2020-02-02,21.6
2020-02-03,23.2
2020-02-04,21.8
2020-02-05,19.4
2020-02-06,17.1
2020-02-07,19.7
2020-02-08,22.1
2020-02-09,23.8
2020-02-10,22.4
2020-02-11,20.0
2020-02-12,17.7
2020-02-13,20.3
2020-02-14,22.7
2020-02-15,24.3
2020-02-16,22.9
2020-02-17,20.5
2020-02-18,18.2
2020-02-19,20.8
2020-02-20,23.2
2020-02-21,24.8
2020-02-22,23.4
2020-02-23,21.0
2020-02-24,18.7
2020-02-25,21.3
2020-02-26,23.7
2020-02-27,25.3
2020-02-28,23.9
2020-02-29,21.5
2020-03-01,19.2
2020-03-02,21.8
2020-03-03,24.2
2020-03-04,25.8
2020-03-05,24.4
2020-03-06,22.0
2020-03-07,19.7
2020-03-08,22.3
2020-03-09,24.7
2020-03-10,26.3
2020-03-11,24.9
2020-03-12,22.5
2020-03-13,20.2
2020-03-14,22.8
2020-03-15,25.2
2020-03-16,26.8
2020-03-17,25.4
2020-03-18,23.0
2020-03-19,20.7
2020-03-20,23.3
2020-03-21,25.7
2020-03-22,27.3
2020-03-23,25.9
2020-03-24,23.5
2020-03-25,21.2
2020-03-26,23.8
2020-03-27,26.2
2020-03-28,27.8
2020-03-29,26.4
2020-03-30,24.0
2020-03-31,21.7
2020-04-01,24.3
2020-04-02,26.7
2020-04-03,28.3
2020-04-04,26.9
2020-04-05,24.5
2020-04-06,22.2
2020-04-07,24.8
2020-04-08,27.2
2020-04-09,28.8
2020-04-10,27.4
2020-04-11,25.0
2020-04-12,22.7
2020-04-13,25.3
2020-04-14,27.7
2020-04-15,29.3
2020-04-16,27.9
2020-04-17,25.5
2020-04-18,23.2
2020-04-19,25.8
2020-04-20,28.2
2020-04-21,29.8
2020-04-22,28.4
2020-04-23,26.0
2020-04-24,23.7
2020-04-25,26.3
2020-04-26,28.7
2020-04-27,30.3
2020-04-28,28.9
2020-04-29,26.5
2020-04-30,24.2
